tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1731.00;madre_vieja_entrada_1;821.32;17.92;1283.00;1.40;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_ffaa_madre_L.89 routing_ffaa_madre_L.89;448.00;ffaa_madre_L.89;1;3392.44;1.12;0.00;210.15;liviano;;4;139.00
1732.00;madre_vieja_entrada_0;821.32;15.73;1199.00;3.80;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_ffaa_madre_L.83 routing_ffaa_madre_L.83;533.00;ffaa_madre_L.83;1;3392.44;0.96;0.00;252.63;liviano;;6;140.00
1732.00;madre_vieja_entrada_1;821.32;17.06;1260.00;0.00;res_salida_0;5.10;0.00;tripinfo_res_perrokero.7 routing_res_perrokero.7;472.00;res_perrokero.7;1;3344.14;1.10;0.00;213.39;liviano;;5;105.00
1732.00;costanera_entrada_0;84.07;6.26;1481.00;5.00;lecheria_salida_0;5.10;0.00;tripinfo_lech_cost_L.123 routing_lech_cost_L.123;251.00;lech_cost_L.123;1;2231.71;0.84;0.00;62.07;liviano;;1;11.00
1734.00;av_rio_entrada_0;228.82;10.07;1286.00;4.40;lecheria_salida_0;5.10;0.00;tripinfo_lech_rio_L.89 routing_lech_rio_L.89;448.00;lech_rio_L.89;1;3165.99;0.95;0.00;157.81;liviano;;2;37.00
1734.00;costanera_entrada_1;84.07;7.30;1488.00;0.00;lecheria_salida_0;5.10;0.00;tripinfo_lech_cost_L.124 routing_lech_cost_L.124;246.00;lech_cost_L.124;1;2231.71;0.95;0.00;77.96;liviano;;1;10.00
1735.00;madre_vieja_entrada_1;821.32;15.47;1240.00;1.60;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_ffaa_madre_L.86 routing_ffaa_madre_L.86;495.00;ffaa_madre_L.86;1;3392.49;1.01;0.00;223.02;liviano;;3;126.00
1736.00;lecheria_entrada_0;316.19;12.51;1091.00;0.09;fuerzas_armadas_salida_0;12.10;0.00;tripinfo_ffaa_lech_P.10 routing_ffaa_lech_P.10;645.00;ffaa_lech_P.10;1;2899.44;0.76;30.00;246.87;pesado;;6;110.00
1737.00;puerto_guaica_0;18.66;6.35;1445.00;5.00;madre_vieja_salida_0;2.30;0.00;tripinfo_res_puerto3.4 routing_res_puerto3.4;292.00;res_puerto3.4;1;2208.47;1.15;0.00;115.05;moto;;2;35.00
1737.00;lecheria_entrada_1;316.19;13.77;1491.00;0.60;costanera_salida_0;5.10;0.00;tripinfo_cost_lech_L.207 routing_cost_lech_L.207;246.00;cost_lech_L.207;1;2230.85;0.88;0.00;82.84;liviano;;1;2.00
