interval_begin;interval_end;interval_id;edge_arrived;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_left;edge_sampledSeconds
0.00;100.00;reporte_densidad_final;0;0;0;-335982662#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982662#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982663#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982663#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982664#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982664#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982665#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982665#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;1;-371794626#1;0;0;1;4.61
0.00;100.00;reporte_densidad_final;0;0;9;-371794626#10;0;0;9;19.71
0.00;100.00;reporte_densidad_final;0;0;12;-371794626#11;2;2;9;110.23
0.00;100.00;reporte_densidad_final;0;0;14;-371794626#12;1;1;12;73.81
0.00;100.00;reporte_densidad_final;0;0;2;-371794626#2;0;0;1;24.46
0.00;100.00;reporte_densidad_final;0;0;3;-371794626#3;0;0;3;2.09
0.00;100.00;reporte_densidad_final;0;0;3;-371794626#5;0;0;3;5.06
0.00;100.00;reporte_densidad_final;0;0;3;-371794626#6;0;0;3;4.09
0.00;100.00;reporte_densidad_final;0;0;5;-371794626#8;0;0;5;8.41
0.00;100.00;reporte_densidad_final;0;0;7;-371794626#9;0;0;5;28.55
0.00;100.00;reporte_densidad_final;0;0;0;-421150180#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-421150182#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104490#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104490#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104492#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104492#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104492#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104492#3;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104530;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104531;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104532#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104532#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104532#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104540;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104541#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104541#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104541#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104542#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104542#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104543#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104543#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104559#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104559#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-462104560;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-467217582#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-467217582#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-495730009#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-495730017;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-830761835;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-830761836;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-830761837#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-830761837#1;0;0;0;0.00
